"7f24370","n0vad3v","Wed, 14 Dec 2022 14:35:25 +0800","Update docs/guide/api-reference/marketplace.md",	 1 file changed, 2 deletions(-)	
"45fdb60","n0vad3v","Wed, 14 Dec 2022 14:29:21 +0800","Update docs/guide/api-reference/marketplace.md",	 1 file changed, 31 insertions(+), 42 deletions(-)	
"7e2337a","zhouqiang","Fri, 2 Dec 2022 18:31:36 +0800","Update layer2-apis.md",	 1 file changed, 5 insertions(+), 29 deletions(-)	
"11d460d","Jiayi Lin","Thu, 1 Dec 2022 19:05:59 +0800","Update set-up-metadata-for-your-nfts.md",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"1f99fa0","Shark","Thu, 1 Dec 2022 16:48:40 +0800","set up metadata update",	 3 files changed, 35 insertions(+)	
"8d12ce4","n0vad3v","Thu, 1 Dec 2022 15:48:23 +0800","update docs",	 1 file changed, 13 insertions(+), 4 deletions(-)	
"112b09b","n0vad3v","Thu, 1 Dec 2022 15:22:17 +0800","Fix title",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"bc5e820","n0vad3v","Thu, 1 Dec 2022 15:21:09 +0800","Add curl example",	 1 file changed, 10 insertions(+)	
"3e815da","n0vad3v","Thu, 1 Dec 2022 15:09:01 +0800","Add size limit",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"7b82d46","n0vad3v","Thu, 1 Dec 2022 14:47:51 +0800","Add storage docs",	 2 files changed, 71 insertions(+)	
"e229af8","n0vad3v","Thu, 1 Dec 2022 11:23:02 +0800","Fix mints response",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"2420b75","n0vad3v","Thu, 1 Dec 2022 10:38:22 +0800","Fix on mints response",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"3922bca","Shark","Wed, 30 Nov 2022 23:51:43 +0800","second push",	 2 files changed, 1490 insertions(+), 1580 deletions(-)	
"0beb6c8","Shark","Wed, 30 Nov 2022 23:39:04 +0800","first push",	 5 files changed, 308 insertions(+), 84 deletions(-)	
"d3b1fa8","n0vad3v","Fri, 25 Nov 2022 13:19:08 +0800","Add token_ids in orders page",	 1 file changed, 12 insertions(+), 26 deletions(-)	
"c8d40cf","Shark","Thu, 24 Nov 2022 23:22:22 +0800","add create smart contract video back",	 1 file changed, 5 insertions(+)	
"1c37de1","Shark","Thu, 24 Nov 2022 23:16:33 +0800","mint-nfts-on-layer2-2022-11-24-update",	 5 files changed, 77 insertions(+), 27 deletions(-)	
"25e462b","m-yangyu","Thu, 24 Nov 2022 22:19:19 +0800","feat: 添加token_ids",	 1 file changed, 1 insertion(+)	
"334b4ff","m-yangyu","Thu, 24 Nov 2022 10:11:45 +0800","feat: 修改文案类型",	 1 file changed, 4 insertions(+), 3 deletions(-)	
"1dcc249","n0vad3v","Thu, 24 Nov 2022 10:00:57 +0800","try optimize mints",	 1 file changed, 8 insertions(+), 5 deletions(-)	
"fe4bc90","m-yangyu","Thu, 24 Nov 2022 09:53:21 +0800","feat: 修改getBalancesV2的接口",	 1 file changed, 6 insertions(+), 21 deletions(-)	
"735df3c","m-yangyu","Wed, 23 Nov 2022 23:48:41 +0800","feat: add order api",	 2 files changed, 102 insertions(+), 118 deletions(-)	
"e7fc47f","m-yangyu","Wed, 23 Nov 2022 01:19:23 +0800","feat: 修改api对应的参数跟返回值",	 6 files changed, 163 insertions(+), 81 deletions(-)	
"c000df0","n0vad3v","Mon, 21 Nov 2022 16:50:40 +0800","Add metadata url to contract API",	 2 files changed, 11 insertions(+), 3 deletions(-)	
"fecdacc","n0vad3v","Mon, 21 Nov 2022 16:21:21 +0800","Removed cancel order related docs",	 1 file changed, 3 deletions(-)	
"5ac6c84","n0vad3v","Mon, 21 Nov 2022 16:12:53 +0800","Some minor optimize on docs/guide/api-reference/marketplace.md",	 1 file changed, 8 insertions(+), 8 deletions(-)	
"bab0f86","n0vad3v","Sat, 19 Nov 2022 13:52:43 +0800","Add order related docs",	 1 file changed, 140 insertions(+)	
"d06983d","n0vad3v","Fri, 18 Nov 2022 15:03:13 +0800","Fix typo",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"1ecc7df","n0vad3v","Fri, 18 Nov 2022 09:31:06 +0800","Add Wallet address on mint page",	 1 file changed, 2 insertions(+)	
"636db70","unknown","Thu, 17 Nov 2022 22:22:40 +0800","feat: add getBalancesV2 api in jssdk",	 2 files changed, 1638 insertions(+), 1486 deletions(-)	
"2ee438b","n0vad3v","Thu, 17 Nov 2022 20:33:50 +0800","use new video",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"9b5a5a9","n0vad3v","Thu, 17 Nov 2022 15:08:18 +0800","update video",	 3 files changed, 2 insertions(+), 2 deletions(-)	
"8d3c55c","n0vad3v","Thu, 17 Nov 2022 14:37:12 +0800","Add docs/public/deploy-contract.mp4",	 2 files changed, 7 insertions(+), 6 deletions(-)	
"adb4c8f","n0vad3v","Thu, 17 Nov 2022 14:06:56 +0800","Add comment for ERC721M",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"1c56c93","n0vad3v","Thu, 17 Nov 2022 12:05:24 +0800","Add API key for mints",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"85bf8bd","n0vad3v","Thu, 17 Nov 2022 11:06:27 +0800","update",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"b1b9cec","n0vad3v","Thu, 17 Nov 2022 11:02:44 +0800","update doc",	 8 files changed, 125 insertions(+), 7 deletions(-)	
"e824aeb","n0vad3v","Wed, 16 Nov 2022 21:10:55 +0800","fix typo",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"3500e28","n0vad3v","Wed, 16 Nov 2022 16:40:48 +0800","remove paging on balance v2",	 1 file changed, 12 deletions(-)	
"5b309b7","n0vad3v","Wed, 16 Nov 2022 16:20:17 +0800","remove",	 1 file changed, 54 deletions(-)	
"2709b8d","n0vad3v","Wed, 16 Nov 2022 16:15:26 +0800","Optimize docs",	 14 files changed, 502 insertions(+), 63 deletions(-)	
"1a82727","n0vad3v","Mon, 14 Nov 2022 20:29:12 +0800","update",	 1 file changed, 38 insertions(+), 2 deletions(-)	
"0c3b2ff","n0vad3v","Mon, 14 Nov 2022 19:40:05 +0800","Update balance v2 api",	 1 file changed, 92 insertions(+), 1 deletion(-)	
"f30d9c2","n0vad3v","Mon, 14 Nov 2022 11:39:15 +0800","Fix",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"0da2c36","n0vad3v","Mon, 14 Nov 2022 11:37:01 +0800","Fix",	 1 file changed, 3 insertions(+), 3 deletions(-)	
